artifact_id	run_id	stage_key	artifact_role	path	sha256	bytes	data_rows	schema_version	status	created_at	source_manifest_path	notes
artifact_b7d36123ee0914510f9dd5e4	ENCSR307SHM_pilot100k_mm2splice_v1	11b_TARGET_ASSIGNMENT	target_assignment	/mnt/intelssd/rnatr_project/results/11_assignment/ENCSR307SHM_pilot100k_mm2splice_v1/read_target_candidates.tsv.gz	f11640b20e68febd1e408ecd2fd1ebac6b271f844ba7491931bc16af4ff1f955	8661289	388571		CURRENT	2026-08-03T05:57:05+00:00	/mnt/intelssd/rnatr_project/results/11_frozen_pilot_replay_contract_resolution/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_frozen_pilot_replay_contract_resolution_v0.1.0/exact_rowcount_artifacts.tsv	Curated current artifact.
artifact_1c3266a9bbbc8cc1942f7a55	ENCSR307SHM_pilot100k_mm2splice_v1	11d3_RAW_READ_PROJECTION	raw_read_projection	/mnt/intelssd/rnatr_project/results/11_projection/ENCSR307SHM_pilot100k_mm2splice_v1/v0.3.3/read_target_projection.v0.3.3.tsv.gz	453f4458ed4140f866ec7f490c01e4d995f89e3b3144f771fede436ea8a76494	23581399	388571	v0.3.3	CURRENT	2026-08-03T06:19:32+00:00	/mnt/intelssd/rnatr_project/results/11_projection/ENCSR307SHM_pilot100k_mm2splice_v1/v0.3.3/ENCSR307SHM_pilot100k_mm2splice_v1.raw_projection_manifest.v0.3.3.tsv	Curated current artifact.
artifact_12db34a2d55a5602f46afb91	ENCSR307SHM_pilot100k_mm2splice_v1	11e_MOTIF_JOBS	motif_scan_jobs	/mnt/intelssd/rnatr_project/results/11_motif_jobs/ENCSR307SHM_pilot100k_mm2splice_v1/motif_scan_jobs.tsv.gz	288edb65c9c540bb47ca1e45ba5a5332db7d5d73509df446c15d01b545ee480f	16486786	388571		CURRENT	2026-08-03T06:24:04+00:00	/mnt/intelssd/rnatr_project/results/11_frozen_pilot_replay_contract_resolution/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_frozen_pilot_replay_contract_resolution_v0.1.0/exact_rowcount_artifacts.tsv	Curated current artifact.
artifact_d01c1803b6b9cb4a34939982	ENCSR307SHM_pilot100k_mm2splice_v1	11k3_SPAN_NORMALIZATION	calibrated_p01_evidence_v0.3.3	/mnt/intelssd/rnatr_project/results/11_periodic_calibrated/ENCSR307SHM_pilot100k_mm2splice_v1/v0.3.3/simple_periodic_evidence.calibrated.v0.3.3.tsv.gz	a63715b8a6da8c89ada02f0dda762d4b0f0c9b40e72708e4d554aefe3cc23acf	7490879	49793	v0.3.3	CURRENT	2026-08-03T08:51:23+00:00	/mnt/intelssd/rnatr_project/results/11_periodic_calibrated/ENCSR307SHM_pilot100k_mm2splice_v1/v0.3.3/ENCSR307SHM_pilot100k_mm2splice_v1.simple_periodic_calibrated.v0.3.3.manifest.tsv	Curated current artifact.
